,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,MBTI
40,wizkhalifa,RT @OGJustPeachie: @wizkhalifa https://t.co/n4fN8p3FRW,I heard they got better https://t.co/qzF8KKgXdV,Don’t forget da cheeks https://t.co/lpchNqYvdZ,Ooo oooo https://t.co/SBVHn6YET0,Looks like Miami https://t.co/6QqmDRxUMD,I’m covering my whole fave except my eyes https://t.co/uCPsicnO3Y,This holiday season @HotBoxbyWiz is giving a piece of the proceeds from ALL orders to @412FoodRescue to help feed families. https://t.co/9whksdIiaK,Roll somethin read somethin. I really might grab my mask and end up in somebody’s strip club soon,People love smoking vids https://t.co/aKvEoywZKz,After I finally learned how to do im a ghost https://t.co/K6rcI3n3ss,RT @dd_finney: 😂😂😂 https://t.co/E8GvM0j5ZU,RT @BICHOta_: A fact lol they chopped 2 of my vids both them jawns was running numbers too😂 https://t.co/QBwrFYEQPQ,RT @coryroman_: I bet if ya had a bottle in hand it’d be allll cool https://t.co/phAnYRY5cw,RT @JazSoOutspoken_: And they crunchy 😍😍😍 https://t.co/fRzuEqx674,RT @Hannah_gtg: Finna try this now https://t.co/0whNMtEiDB,ISFP
41,KylieJenner,"wow we just sold out of my mini fridges!! for anyone who missed it, we will be restocking in early January! @kylieskin","I have a holiday surprise coming tomorrow... limited quantities of items from some of my favorite collections... The Grinch, Kendall, Balmain, Kris, Stormi and more will be back on the site tomorrow at 9am PST @kyliecosmetics https://t.co/bDaiohhXCV https://t.co/QgcUoT7c1X",just launched my @kylieskin limited edition mini fridge to hold all your skincare essentials! https://t.co/n1uvmPB0xY 💗 #5daysofsurprises https://t.co/Ubg2fqIo3J,get a FREE @kylieskin pouch with all orders over $50 TODAY only on https://t.co/n1uvmPB0xY! Ends 11.59pm pst tonight https://t.co/nH4tyfau8t,my @kylieskin 5 Days of Surprises just launched TODAY on https://t.co/n1uvmPB0xY.. Day 1 is the launch of my new hair accessories and LED mirror! 💗 https://t.co/jKXFMNMxF5,happy National Socks Day! Get FREE @arthurgeorge holiday socks with every @kylieskin order today! https://t.co/n1uvmPB0xY 💗❄️ https://t.co/DVKQm21h5D,So amazing seeing my @kylieskin displays in Selfridges!! All @Selfridges stores in the UK are officially open now! 🇬🇧💗 https://t.co/ZuarHwoBxr,"💗 @kylieskin is now available in @harrods stores in the UK, just in time for the holidays! Excited for you guys to try everything! https://t.co/yD15SQjNAU",,,,,,,,ISFP
42,espn,"The block ➡ The dunk

Kai Jones 💥 https://t.co/S9CzVPfa99","Will Jim Harbaugh be the head coach at Michigan next season? Will Cleveland’s Kevin Stefanski win NFL Coach of the Year?

Bet. is back with @JoeFortenbaugh and @Tyler_Fulghum!  https://t.co/U1TRe1WfXN",Join us and @TheVFoundation in the fight to beat cancer: https://t.co/6NwFh2XdEK,"""Don't give up, don't ever give up.""

Jim Valvano's empowering words ring especially true this year. 

https://t.co/gTYL0jUnA5","RT @ESPNFC: The UCL Round of 16 is set! 

Who's your favorite to win it all? 🏆 https://t.co/N1yhdkvKv3","On this episode of DangerTalk @DangeRussWilson and @JeffDye are joined by @DwyaneWade, who talks about life in 2020, shares one of his favorite Kobe memories, and tells a must-hear story about a Jason Terry handshake in the Bahamas.  https://t.co/4tUzbF4bai","RT @ESPNNBA: 🔺 13 Pts
🔺 4/4 FG
🔺 33 Seconds

16 years ago, Tracy McGrady put the team on his back for one of the most improbable wins ever…","RT @SportsCenter: “Sport is the greatest metaphor we have for life.” —Kobe Bryant

SportsCenter presents “2020: Heroes, History &amp; Hope,” a…","How it started ➡️ How it's going 📈 @luka7doncic 

(via @dallasmavs) https://t.co/jnsN4IFjri",Would you want to see LeBron and Bronny team up in the NBA? 🤔 🍿 https://t.co/d2jVTI4CL9,"Welcome to the Heisman House poll, DeVonta Smith!

Are you picking him or one of the star QBs for CFB's top award?

(📍@NissanUSA)",Mike Tomlin knows players like Chase Young don't come around often 💪 @youngchase907 https://t.co/aE1HHXlMuH,"RT @THEwillieCS15: Find your strength‼️ 

Stuart Scott was truly one of the greatest at his craft and his legacy will always live on. Grab…","Our NBA rank continues 👀 

No. 50 down to No. 11 ➡️  https://t.co/5qMPvMLqLH (ESPN+) https://t.co/AOXzRIEHP3","RT @ESPNFC: Messi and Buffon exchanged shirts at the end of Tuesday's match.

Legends ❤️ https://t.co/77kaeFbZUB",ESFP
44,Louis_Tomlinson,@LouisPromoSquad New song. Not a cover!,Copy of a copy of a copy,See you on Saturday! https://t.co/QEyaeOMpuo,@seriousIouis One of the main reasons for putting on this show!,@manibaexoxo Not yet no,@70SDIANA It's going to be a good one!,Hope everyone is doing good! Excited for the show!,@samfendermusic Very important cause. If you're a UK resident please sign!,RT @samfendermusic: We're calling for every local council to provide free helplines for the homeless and vulnerable. Sign our petition‼️‼️…,,,,,,,ENFP
46,instagram,"This remind you of anything?  
  
#ThisWeekOnInstagram  
  
https://t.co/ACZ7LGRISq https://t.co/dhQ334WWfU","😏

https://t.co/bLdqw5kU01",@AwoTsegah ✨❤️👏,"Ahhmazing architecture 🤯  
  
#ThisWeekOnInstagram  
  
https://t.co/j3akdtWEhH https://t.co/OairrUHajj","😳😍

#HelloFrom the Ambuluwawa Tower, Sri Lanka

https://t.co/u6it1xKQvi https://t.co/DuXX0KyvBg","Family photo 🐕  
  
#WeeklyFluff 

https://t.co/DoJCi0NNS1 https://t.co/JUEWj0T9Wc","This is Wilbur and he loves peekaboos  👀

See more things that made us 😊 this week → https://t.co/AJMyisq8Dv https://t.co/DBK03kwLRN","OK, why are these ceramics so cute? 😍

Learn more about this 💯 small business rn on our story ✨ 

https://t.co/oHJKgoeRgq https://t.co/P5ue0GAG9o",,,,,,,,ISFP
47,FCBarcelona,Possible opponents for Barça in the @ChampionsLeague. #UCL,"🚀 @liekemartens1 🔥

WHAT A GOAL 🆚 PSV! 

Great win, @FCBfemeni! 🔵🔴 https://t.co/hPTjBq4Tq4","🎥 [TRAINING SESSION]
🏋️‍♂️ Today's recovery session took place on Pitch 2 at  Ciutat Esportiva https://t.co/1gg5dT03fe","🔙 On this day in 2️⃣0️⃣1️⃣2️⃣...

🙌 Leo #Messi broke Gerd Muller's record of 86 goals in a calendar year.

He ended that year with 91 goals. 🤯 https://t.co/P3HlfQSGp6","[HIGHLIGHTS]
⚡ PSV Vrouwen 1–4 @FCBfemeni 
🏆 @UWCL 

💙❤ #ForçaBarça https://t.co/2MpZlID9q3","💙❤ Congrats on the win, 
@FCBfemeni! 

Let's go! 💪 https://t.co/We6kCX4ZF6","📣 THE @UWCL RETURNS!

Watch the game on Barça TV+ from wherever you are 🌎

LIVE 👉 https://t.co/fWddQYUgLk https://t.co/DJl0TzZ6Qc","🔵🔴 Today, @FCBfemeni make their debut in the @UWCL! Good luck! 💪
📺 Watch the match LIVE on Barça TV &amp; Barça TV+ 
👉 https://t.co/bbVNGXoMPq https://t.co/TkPzJ0gsXD",🤝 Two greats of world football https://t.co/1RPGJzPrEi,9️⃣ and dine https://t.co/CvaF5iKq3b,"G⚽️L OF THE DAY
🧠 @5sergiob https://t.co/RmzzBDfAWO","❝We need to analyze the game, and what we did wrong in the beginning.❞
      — @RonaldKoeman, on #BarçaJuve https://t.co/V41X9RB1Nu","Post Game Live
👉 https://t.co/bbVNGXoMPq https://t.co/Y9A60pUFVX",Full Time https://t.co/jTMnFvqcdF,"IN: @OscarMingueza 
OUT: @RonaldAraujo939 https://t.co/P8MHXfEX24",ENFP
48,sachin_rt,"Many happy returns of the day @ShatruganSinha ji!

Wishing you a wonderful year ahead filled with happiness and good health.","Congratulations on a wonderful career, Parthiv!

Your never say never attitude is something that has always stood out for me and I still remember the gutsy innings you played against Pakistan at Rawalpindi as an opener.

All the very best for your future endeavours my friend. https://t.co/iuWhcvjv68","Congratulations @SachinSagaGame on turning 3️⃣!

The team has continuously strived to make the game a fabulous digital destination for cricket lovers. Together let’s keep creating new &amp; better gaming experiences. https://t.co/MNEqGIeDzV","Education is the most valuable gift one can give.

Heartiest congratulations to @ranjitdisale on winning the #GlobalTeacherPrize for his work in the field of education, especially for helping young girls get back to school.

https://t.co/WWvd7OcnK0","Congratulations to #TeamIndia on winning the T20I series. Defending 161 in the 1st game and chasing 195 in the 2nd showed what a comprehensive performance this has been. Well done!

@BCCI #AUSvIND","Happy Birthday @ShreyasIyer15! 
Give your best and keep working hard. Wishing you a successful year ahead. https://t.co/ANpmHayXJA","Wish you a happy birthday @Jaspritbumrah93!
Always a joy to see you bowl with heart and soul. May the wickets and good days keep coming. https://t.co/sYJKqhysQC","Wish you a very happy birthday Shikhar! 
Have a great one. https://t.co/TbcjlINyId","Happy birthday to the captain of our 🇮🇳 Women's Hockey Team, @imranirampal!
Wishing you a happy, healthy and successful year ahead. https://t.co/LEDOWTZJ9o","Happy birthday to @imAagarkar, who has not just been my friend since school days, but has also become my golf buddy now.

Keep swinging on the greens just like you did on the 22 yards. https://t.co/pGDb6dHxTD","Greetings to all our @indiannavy personnel &amp; their families on Navy Day.
Thank you for all that you have done and continue to do for the nation.

#IndianNavyDay https://t.co/mjF4gyMlc0","Happy birthday @M_Raj03! 
Wish you the very best for the year ahead. https://t.co/UU5dukm4iP","Thinking of a person very close to my heart who helped countless young cricketers, including me, to realise their potential through the power of sport &amp; character.

Thank you for everything, Achrekar Sir. 🙏🏻 https://t.co/02PQPqCPxI",,,ISFP
49,LiamPayne,The #NaughtyList video is OUT NOW ❄️ Go check it out and let me and @dixiedamelio know what you think! https://t.co/YqEckWIzGa https://t.co/exuoBRBV0N,"See you all shortly for the #NaughtyList video premiere! @dixiedamelio 
https://t.co/xVlB8yP39E https://t.co/ii9wa9cGIg","The #NaughtyList video is out this Wednesday ❄️ Me and @dixiedamelio will be going LIVE on @YouTube at 5:45pm GMT / 9:45am PT to say hello and answer your questions, so ask below and join us for the premiere 👇🏼 https://t.co/YqEckWIzGa https://t.co/sibsP0XNq7",It was an honour to perform for UNICEF Changemaker. The work @UNICEF has done throughout the last 74 years is nothing short of amazing and I’m proud to support them in any way I can. Check out the full performance and support the work of @UNICEFUSA now 🙌🏼 https://t.co/P64axQVi41 https://t.co/mMrHeAWnzB,Loved doing this and looking back over the past few years! Thanks for having me @BBCR1 🙌🏼 https://t.co/imnQWZhBXU,,,,,,,,,,,INFJ
50,POTUS,RT @realDonaldTrump: NASDAQ and S&amp;P close at all-time highs. Congratulations!,RT @WhiteHouse: Every waking moment is about one purpose: saving American lives by delivering safe and effective Coronavirus therapeutics a…,"RT @WhiteHouse: We've created the largest, most advanced, and most innovative testing system in the world. https://t.co/X44O0wXb1l",RT @WhiteHouse: President @realDonaldTrump just signed an executive order to ensure that the U.S. government prioritizes delivery of the va…,RT @WhiteHouse: We have finalized a partnership with Walgreens and CVS to deliver vaccines directly to nursing homes as soon as the states…,"RT @WhiteHouse: ""The plan we put forward prioritizes the elderly and patients with underlying conditions, as well as healthcare workers and…","RT @WhiteHouse: ""If authorized, tens of millions of vaccine doses will be available this month . . . and hundreds of millions more will qui…","RT @WhiteHouse: ""My Administration provided a total of $14 billion to accelerate vaccine development and to manufacture all of the top cand…","RT @WhiteHouse: Before Operation Warp Speed, the typical timeline for vaccine development and approval lasted years. https://t.co/fvVehwRWXn","RT @WhiteHouse: ""From the instant the Coronavirus invaded our shores, we raced into action to develop a safe and effective vaccine . . .…",RT @WhiteHouse: LIVE: Operation Warp Speed Vaccine Summit https://t.co/ul5LUXKQWp,RT @realDonaldTrump: https://t.co/QzZfCIdVDD,RT @realDonaldTrump: https://t.co/LTNXhdsX9S,RT @realDonaldTrump: https://t.co/dRQI4aAXDL,RT @realDonaldTrump: Congratulations @CoachLouHoltz88! https://t.co/QJFg3TwrUE,ESTP
51,chrisbrown,CITY GIRLS Behind The Scenes out now on @YouTube. https://t.co/MLVgxG4ELN https://t.co/d7jzhmgFF7,#CITYGIRLS Video out now! Behind The Scenes dropping tomorrow. https://t.co/XDq0lLQk9f,#CITYGIRLS https://t.co/XDq0lLQk9f https://t.co/NxTpNekLQB,CITY GIRLS mini movie out now!!! https://t.co/XDq0lLQk9f,"RT @RCARecords: ""CITY GIRLS"" MUSIC VIDEO OUT NOW!💥💥💥
@chrisbrown x @youngthug 🔗: https://t.co/2BUewhcuhV https://t.co/NgfhSR4VKP","RT @Vevo: Grab your tickets, this is a whole gangster film! 🎟️ 

Head to the 1940s with @chrisbrown &amp; @youngthug in “City Girls”
⠀⠀⠀⠀⠀⠀⠀⠀⠀…","RT @XXL: Chris Brown and Young Thug went all out for their “City Girls” music video and dropped a whole short film

https://t.co/bfzHwim0Nt",CITY GIRLS the video. Available on @YouTube now! https://t.co/XDq0lLQk9f https://t.co/VpyYHRMnEK,CITY GIRLS VIDEO out now. 💥💥💥 @youngthug,CITY GIRLS VIDEO out now. 💥💥💥 @youngthug,CITY GIRLS VIDEO out now. 💥💥💥 @youngthug,CITY GIRLS VIDEO out now. 💥💥💥 @youngthug,CITY GIRLS VIDEO out now. 💥💥💥 @youngthug,CITY GIRLS VIDEO out now. 💥💥💥 @youngthug,#TEAMBREEZY! What's your favorite part of the City Girls video?! https://t.co/XDq0lLQk9f,ESFP
52,Pink,RT @BetteMidler: #RudyGiuliani exposed hundreds to Covid-19 as he relentlessly criss-crossed the country seeking to overturn the election;…,,,,,,,,,,,,,,,ESTP
53,NBA,"How far do you think the @Pacers will go this season?

The 2020-21 NBA season tips off Christmas Week with games beginning Tuesday, December 22nd. #KiaTipOff20 https://t.co/Okg3FzYloK","Tag your favorite NBA player and tell them why they're your favorite. 

#KiaTipOff20: Tuesday, Dec. 22 on TNT","Where else do this many stars come together on opening week?

The 2020-21 NBA season tips off Christmas Week with games beginning Tuesday, December 22nd on TNT! #KiaTipOff20 #OnlyHere https://t.co/PT3kkPnlJ4","Where else do this many stars come together on opening week?

The 2020-21 NBA season tips off Christmas Week with games beginning Tuesday, December 22nd on TNT! #KiaTipOff20 #OnlyHere https://t.co/qKJ8nIR19l","Eyes closed shooting, pushups on ice and running hills with Jamal Murray's (@BeMore27) family in 2017!

The 2020-21 NBA Season Starts Christmas Week with Games Beginning Tuesday, December 22. #KiaTipOff20 https://t.co/KdvjFvdEhx","Where else do this many stars come together on opening week?

The 2020-21 NBA season tips off Christmas Week with games beginning Tuesday, December 22nd on TNT! #KiaTipOff20 #OnlyHere https://t.co/AMXbH8H1gJ","Where else do this many stars come together on opening week?

The 2020-21 NBA season tips off Christmas Week with games beginning Tuesday, December 22nd on TNT! #KiaTipOff20 #OnlyHere https://t.co/yGIkZ8QGQM","48 hours until the NBA is back!

#NBAPreseason starts Friday 🗓️",RT @NBAHistory: Year 1 ⏩ Year 13 https://t.co/dzgJ8jI7Pl,"""He's a man-child. He won't be stopped going downhill."" - @joshhart on @Zionwilliamson 

The 2020-21 NBA Season Starts Christmas Week with Games Beginning Tuesday, December 22. #KiaTipOff20 https://t.co/LWQowCBvEa","Which @Suns player are you MOST excited to watch in 2020-21?

The 2020-21 NBA season tips off Christmas Week with games beginning Tuesday, December 22nd https://t.co/6CdeZuJxAY","RT @NBAHistory: 13 POINTS IN 33 SECONDS

On this day in 2004, Tracy McGrady caught fire late in the 4th, leading the @HoustonRockets to an…","🗣️ @AntDavis23 mic’d up as a rookie in 2012!

The 2020-21 NBA Season Starts Christmas Week with Games Beginning Tuesday, December 22. #KiaTipOff20 https://t.co/YqLsw9thCq",RT @NBAHistory: Year 1 ⏩ Year 16 https://t.co/3attD7nkE9,"RT @nbacares: .@RebldgTogthr's work increases safety for our neighbors' homes meaning safer structures, safety from outside dangers, reduce…",ISTP
54,ChampionsLeague,"🥳 @borussia 

Round of 16 🔜

#UCL https://t.co/aWv4RMEAnE",RT @FCPorto: 😍💪🔵⚪ https://t.co/WJIfpFZNY1,RT @raphaelvarane: See you in 2021 😘 https://t.co/KZnHG1ieRx,"Who gets your vote? 🤔

⭐️ Neymar
⭐️ En-Nesyri
⭐️ Benzema
⭐️ Trubin

#UCLPOTW | @FTBSantander","Who are you picking for Goal of the Week? ⚽️🔥

#UCLGOTW | @nissansports | #UCL","🇭🇷 Luka Modrić vs Gladbach = _______

#UCL https://t.co/R2R5vX4WEG","⚫️🔵 Quarter-finals last season...

🧐 How far will Atalanta go this time?

#UCL https://t.co/GQ0Iaq74FN","🔴⚪️  Jan Oblak has kept 10 clean sheets in 16 games this season for Atlético (all competitions) 🚫

In your #TeamOfTheYear❓ 👇","Party time for Gladbach! 🎉🎉🎉

@borussia 👏👏👏

#UCL https://t.co/ck5fw4SD3L","When you realise you've qualified for round of 16! 🥳

#UCL https://t.co/AIuFlfLo4Z https://t.co/Kqk35lrAx3","👀 Waiting to find out your last-16 fate...

#UCL https://t.co/EQCodRa4xs","⚪️ 13-time winners Real Madrid qualify as group winners ✅

#UCL https://t.co/wpUTFFBtA0","🔴⚪️ Atlético qualify for knockouts 👏

#UCL https://t.co/7GF3lNsY73",RT @esmuellert_: Meep meep - welcome back @AlphonsoDavies 👍🏼😀 #phonzy #fcbayern #ucl #FCBFCLM #esmuellert https://t.co/bdQY4rGaUN,"👀 How Group A finished...

#UCL",ESFP
56,aliciakeys,Tune in👇🏽👇🏽👇🏽 https://t.co/NB9KXDYS6h,Getting on Twitch for a little piano lesson today at 5:30 ET!! Gonna teach you one of my favorite songs on piano and share some stories and love 💜💜 Don’t miss it 😍💫See ya’ll soon https://t.co/YcyGqjdoee,RT @keyssoulcare: omw to get free shipping on all orders at https://t.co/K0nZRUrxe5. #cleanskincare #thatcandletho https://t.co/ZN7wEVzPK6,It’s that time of year!!!! I’m ready for some dairy free eggnog and my eggnog french toast!!! 😋😋😋,😘😘😘💫💫💫 @keyssoulcare https://t.co/f7xgfNg7FV,Happy Sunday 💫 I wanted to share some soulcare love with you! I have a few extra yummy @keyssoulcare candles that I’m signing. Text me at +1 (917) 970-2001 and share how you’re shining at full wattage. I’ll surprise a few of you! Cant wait to hear all about ur brilliance!!!🤩 https://t.co/59GPeJW16x,I love these fall vibes. What’s your favorite thing about this time of year?? 💛🍂🧡🍂 https://t.co/ykuTOKgfMZ,My brother @ShawnMendes 💫💫💫 Get it brother!!!! #Wonder💜💜💜 https://t.co/oJqKw9p3QP,"The first @keyssoulcare ritual is HERE. Have ya’ll checked it out yet??? 🤩🤩🤩

Get all of the details about the the amazzzzing Skin Transformation Cream, Sage + Oat Milk Candle,
and Obsidian Facial Roller now available at https://t.co/KlZ2iXGpiy and @ULTABeauty 💫💜💫 https://t.co/0GY8gUiiCO","RT @byrdiebeauty: Alicia Keys's foray into beauty was well worth the wait.
https://t.co/p87cdfPxy4","RT @Allure_magazine: We're already in love with the singer-songwriter's namesake skin-care line. 
 https://t.co/8XQvaZ7l4i",🥰🥰🥰 https://t.co/4vPT3IYO8w,"RT @ultabeauty: This girl is on fire 🔥 @keyssoulcare by @aliciakeys is now at Ulta Beauty! Shop the candle, facial cream and facial roller…","Get all of the details about the the amazzzzing Skin Transformation Cream, Sage + Oat Milk Candle, and Obsidian Facial Roller now available at https://t.co/KlZ2iXGpiy and @ultabeauty 💥💥💥💥#KeysSoulcare https://t.co/OaqsQCQV2l","I created @keyssoulcare bc I’ve always had real challenges with my skin. I realized so much of it was based on energy around me &amp; how anxious or stressed I felt. 
⁣
We’ve worked with LOVE to offer u clean formulas and rituals that help you create space for yourself! https://t.co/S8uvrhVVrw",INFP
57,BBCWorld,"Paolo Rossi, Italy's 1982 World Cup hero, dies aged 64 https://t.co/NCuwWP8FDb",Ethiopia's Tigray crisis: How a soldier survived an 11-hour gun battle https://t.co/UpQMIMy5ru,Covid: Students and retirees form long-distance friendships https://t.co/ddSkC9kxaD,New Christmas campaign for Canadians held in China https://t.co/ke7qlriuGc,The dead professor and the vast pro-India disinformation campaign https://t.co/rtFe1czyf7,Humpback whale snapped during New York City harbour visit https://t.co/q3nejx5jAt,More than 900 cars 'pay-it forward' in random act of drive-through kindness https://t.co/OtDAc2sZ8i,France Islam: French cabinet backs law targeting extremism https://t.co/7oTZeReUMI,Ursula von der Leyen: First woman to lead the EU https://t.co/HR60cwoU42,Cher tells the BBC all about why she saved an elephant named Kavaan and what she's hopeful about in 2021 https://t.co/y3ob6dAfk0 https://t.co/kDP6QwHGld,"RT @BBCBreaking: UK PM's dinner with EU chief ends ""with very large gaps remaining"" but Brexit talks to resume with ""firm decision"" by Sund…","In his final days in office, Trump orders series of executions https://t.co/KGXJbjp1OC",Pamela Anderson writes to Irish PM asking him to ban hare coursing https://t.co/ghgVNX1qjY,RT @BBCRosAtkins: I've spent many shows trying to explain to our viewers around the world why these EU-UK trade talks are really about prof…,Major US lawsuits seek break up of Facebook https://t.co/UEMbAZyPEl,ENFP
58,iHrithik,"Lovely shoot with the inimitable @avigowariker. Thanks for always making me look cooler than I am! #PostPackUpShot 

Hair: @AalimHakim 
Makeup: @vijaypalande11 
Styled By: @lakshmilehr https://t.co/5TqM009lTw",,,,,,,,,,,,,,,ISFJ
59,HillaryClinton,"RT @NCRMuseum: .@BillClinton worked to end racial profiling &amp;  worked to improve business opportunities for women &amp; minorities.

When he wa…","You must hear @StaceyAbrams—author, voting rights advocate, and birthday girl!—explain how she became a romance novelist. 

https://t.co/LbwqTJZvN0 https://t.co/vkLb9WWtWU","On this day in 1979, after an extensive worldwide vaccination campaign, @WHO declared smallpox eradicated.

We can do hard things.","I've known Lloyd Austin for 15 years, and worked closely with him from both the Senate and as Secretary of State. He will make history, and serve this country well.",RT @chefjoseandres: After the 1918 pandemic we professionalized healthcare. Doctors &amp; nurses—not just charity. Now we must do the same for…,"Flip the Senate, save the Post Office. 

https://t.co/8miZ1YJFos","Help is on the way. 

In the meantime, wear a mask. https://t.co/sl6FZurDLV","Love books? ME TOO. 

I talked with some of my favorite writers for this week's installment of ""You And Me Both."" Listen for chats with Louise Penny, @iammarleydias, and @staceyabrams—aka Selena Montgomery—about how books can show us who we are. https://t.co/4ssrAPt8qu","Who do you know in Georgia?

Take a moment now to get in touch with them and make sure they've checked their voter registration. 

Today is the deadline for Georgians to register for the Senate runoff election. 

https://t.co/7Xu4l5Nomg https://t.co/TwrQF4Hato","RT @neeratanden: Families all across our country are worried. Worried about paying bills, rent – too many of the most basic necessities hav…","At the end of this long and devastating year, it's incredibly heartening to see science and medical experts valued as they should be in the incoming administration. https://t.co/hK8GROSwIk","RT @BarbaraPerryUVA: And Secretary @HillaryClinton, we are happy and proud to capture and preserve the spoken narratives of you and your co…","Please share with friends and family in Georgia:

Monday, December 7, is the last day Georgians can register to vote for the January runoff elections that will determine Senate control.

Check your registration now at https://t.co/NVNPnH3Ybs. https://t.co/fvldfSzkec","Happy and proud to be working with @UVA's @Miller_Center on The Hillary Rodham Clinton Oral History Project.  

https://t.co/sRZkOkUHH3",RT @ChelseaClinton: Thrilled to be part of HiddenLight Productions with my mom @HillaryClinton &amp; @sambranson! Our first project is an adapt…,ESTJ
60,KAKA,"Unlucky this time @AliAd3n , but good score! Hopefully in the future we can be on the same pitch together again. I’ll make sure I will cut back to you 😉 https://t.co/nccGsYiu8f",. @AliAd3n and the winner is??👀,Should I have cut it back? @AliAd3n 😜 https://t.co/TsMZdnf4dW,RT @KAKA: @AliAd3n @MikezAFC_ I think it’s time you proved this my friend 😉 you vs. me in a shot power competition. @adidasUK can you send…,@AliAd3n @MikezAFC_ I think it’s time you proved this my friend 😉 you vs. me in a shot power competition. @adidasUK can you send @AliAd3n an #adidasGMR please? https://t.co/szaFdEHAVj,,,,,,,,,,,INTP
61,khloekardashian,"RT @ABC7: @khloekardashian Hi Khloe! Every year we have our Spark of Love toy drive that collects new, unwrapped toys and sports gear for k…",RT @CHPsouthern: The goal of our annual toy drive is to help ensure children enjoy their holiday season. This year the need is greater than…,"RT @CBSLA: Thank you for your support!! And a big thank you to everyone who has donated! So far, we've raised $21k to help brighten up the…",Great morning! I hope everyone has a beautiful beautiful day 🤍🤍,"CHiPs for Kids is holding their annual toy drive and needs our help more now than ever!!! Any little bit helps, just text “TOYS” to 76278. All money collected will go to purchase toys and help families in need!!! I just texted, you should too! ❤️❤️
https://t.co/U497lH83Em https://t.co/0Tj9DQY9Vt",RT @kardashfannet: @khloekardashian https://t.co/B8Xj7L3PtP is collecting donations to fund many associations in Belgium that fight child p…,RT @kyliesgoddess: @khloekardashian https://t.co/qHxdUIhnvk https://t.co/3GpXy3y7du,RT @puresoouul: @khloekardashian This is assistance for homeless people in Italy: https://t.co/VjarFi0F6A ♥️,@LinnaeVaughn Amen!! You are right! Thank you for the reminder,RT @UNLVgirl: @khloekardashian We have our annual KLUC toy drive going on right now in Las Vegas. @chetbuchanan stays outside for 12 days a…,Thank you so much guys for tweeting me all of these amazing organizations. This has been so helpful for me and I hope to many others. If you can’t make any donations don’t be hard on yourself. Simply because I am out and spread love ❤️,♥️♥️♥️ https://t.co/u9bbf7bZzX,RT @TrulyAKhloeKFan: @khloekardashian This is for Germany ❤️ https://t.co/cZhyzSfY0u,RT @khloeart: @khloekardashian It is to donate new toys in Brazil. On this site there are places where you can donate 🙏🏻 👉🏻 https://t.co/e3…,,ISFP
62,ConanOBrien,I've wasted so much of my staff's time playing this song at rehearsal. Now I get to waste your time too. https://t.co/v8BVWeDSoV,"In India, an elephant was rescued after falling into a well. Afterwards, the elephant said, “I wish I could forget the whole thing.”",Thrilled to make @JohnCleese's lifelong dream of doing a podcast with Conan O'Brien come true. Listen @ https://t.co/pfOk236hQr https://t.co/zqP6uKYgs3,Could he receive the Never-Gave-Us-A-Moment’s-Peace Prize?,"Let’s not forget all the good stuff that happened in 2020.
You first.","Biden is looking for a new Attorney General. So, we may not be done with Giuliani after all.",When will my parents pardon me?,,,,,,,,,ENTP
63,priyankachopra,Beauty in simplicity ❤️ https://t.co/5BUN2SJIC6,"Our farmers are India’s Food Soldiers. Their fears need to be allayed. Their hopes need to be met. As a thriving democracy, we must ensure that this crises is resolved sooner than later. https://t.co/PDOD0AIeFv","@TIME Congratulations @gitanjaliarao, you're an outstanding role model.","…how to be a HERO! Are you in? 

We Can Be Heroes,  directed by Robert Rodriguez is now coming to Netflix globally this Christmas.

#WeCanBeHeroes
@Rodriguez
@netflix
@PedroPascal1
@ChristianSlater
#YaYaGosselin
(2/2)","Power comes in all sizes and it arrives on Christmas Day! These amazing kids have a secret weapon - Teamwork. ⚡️ It brought a different energy on set and is the life of this film. 

So while you wait for Santa, it's time to sit back and let these incredible kids show you… (1/2) https://t.co/nwhNJzFCtO","Blown away by @TIME’s first-ever Kid of the Year, Gitanjali Rao! 👏
Only 15 years old &amp; tackling issues ranging from contaminated drinking water to opioid addiction &amp; cyber bullying.
Thank you Gitanjali for leading the way for the next generation.

https://t.co/CsvRPDhMwS",Thank you for tonight’s amazing look. I can’t wait to see all the bright places your career takes you! And a special thank you to @LUXURYLAW for introducing me to this supremely talented human. (3/3),"...changing the way South Asians in the industry are perceived. Not to mention, he opens up his studio space in London to South Asian design students who are struggling to find a place to create. ❤️ (2/3)","One of my priorities as the BFC Ambassador for Positive Change is to celebrate the extraordinary talent of South Asian designers. Tonight I’m wearing @KaushikVelendra, a South Asian born designer who is breaking stereotypes, pushing for more sustainable fashion, and... (1/3) https://t.co/VM1oR5vMTe","Congratulations @asaitakeaway, @chanel, #emergencydesignernetwork, #kennethize and #halpernstudio and to all the honourees tonight.

#fashionawards
@BFC
(3/3)","Their innovation has made a huge impact on sustaining local livelihoods in light of the pandemic, &amp; they've not only inspired us to take immediate action on important issues, but they’ve also shown us what's possible when you combine compassion &amp; creativity to help others. (2/3)",I was honoured to present the Community Award tonight at The Fashion Awards. Such a well deserved celebration of 5 outstanding individuals and their work within their communities. (1/3) https://t.co/6bn6lzWHGc,,,,ESFJ
