0,1
5 Seconds of Summer,@5SOS
UberSocial,@UberSoc
Richard Branson,@richardbranson
China Xinhua News,@XHNews
Farhan Akhtar,@FarOutAkhtar
Angel Locsin,@143redangel
Sarah Silverman,@SarahKSilverman
50cent,@50cent
will.i.am,@iamwill
Globo em 🏠,@RedeGlobo
Anitta,@Anitta
Kiran Bedi,@thekiranbedi
Tim Cook,@tim_cook
Kelly Clarkson,@kellyclarkson
Samsung Mobile,@SamsungMobile
Calvin Harris,@CalvinHarris
Victoria Beckham,@victoriabeckham
Usher Raymond IV,@Usher
Yogi Adityanath,@myogiadityanath
Fortnite,@FortniteGame
CNN بالعربية,@cnnarabic
camila,@Camila_Cabello
Marcelotwelve,@MarceloM12
الوليد بن طلال,@Alwaleed_Talal
Jimmy Kimmel,@jimmykimmel
President of India,@rashtrapatibhvn
Carles Puyol,@Carles5puyol
Cinema XXI,@cinema21
luna maya,@LunaMaya26
G1,@g1
Little Mix,@LittleMix
Twitter Music,@TwitterMusic
VarunDhawan,@Varun_dvn
Mindy Kaling,@mindykaling
Karim Benzema,@Benzema
